channel_title,country,max_likes
Fueled By Ramen,GB,358409
SpaceX,FR,358134
LiamPayneVEVO,GB,357993
1theK (원더케이),US,357641
justintimberlakeVEVO,GB,356469
jbalvinVEVO,US,356298
nigahiga,US,355336
EXID_OFFICIAL,GB,354960
Ozuna,FR,354784
Ozuna,DE,354783
Kodak Black,GB,353087
YandelVEVO,GB,352803
Bhad Bhabie,GB,352562
Sony Pictures India,DE,350847
The Slow Mo Guys,DE,347157
BANGTANTV,FR,345197
BANGTANTV,CA,345195
BANGTANTV,DE,345192
Dwarf Mamba,CA,344502
h3h3Productions,FR,343272
ImagineDragonsVEVO,CA,342936
joyner lucas,GB,342121
BadComedian,DE,341240
NikkieTutorials,GB,341145
The Weeknd,FR,341040
The Weeknd,DE,341039
Flo Rida,GB,340440
WINNER,FR,340359
WINNER,CA,340356
Baby Ariel,GB,340254
marshmello,GB,338795
Liza Koshy,GB,337785
Safiya Nygaard,CA,335949
Vevo,FR,335772
Vevo,DE,335772
TheOdd1sOut,DE,334807
GalacticFusion,GB,333712
Sony Music India,FR,333036
Conor Maynard,CA,332914
JenniferLopezVEVO,GB,329709
LIL UZI VERT,GB,328989
Post Malone,DE,328800
Алексей Навальный,DE,328319
PinkVEVO,FR,327504
versusbattleru,DE,327096
NickiMinajAtVEVO,DE,326936
NickiMinajAtVEVO,FR,326936
NikkieTutorials,US,326557
Mcfly & Carlito,FR,324561
Mcfly & Carlito,CA,324561
Lucas the Spider,CA,324355
RomeoSantosVEVO,GB,322360
nigahiga,CA,321948
Lucas the Spider,DE,321681
PTXofficial,CA,321445
Martin Garrix,GB,321211
1theK (원더케이),GB,317396
Daddy Yankee,FR,316948
Daddy Yankee,DE,316948
Speed Records,CA,316722
Republic Records,GB,316384
TheAngryGrandpaShow,GB,316062
BlocBoy JB,CA,315845
FiftyShadesVEVO,FR,315105
Maroon5VEVO,DE,310478
JayRockVEVO,CA,309536
HalseyVEVO,US,308698
bill wurtz,GB,308595
Enes Batur,DE,306697
CaseyNeistat,GB,302644
Eleven Seven Music,GB,301497
HowToBasic,US,300014
TrippieReddVEVO,GB,299800
Diplo,US,299515
Rudimental,GB,298371
T-Series,FR,297717
T-Series,DE,297709
ChainsmokersVEVO,FR,297307
FARRUKOVEVO,CA,297225
Dwarf Mamba,DE,295651
Walt Disney Animation Studios,US,295631
bill wurtz,US,295288
Sony Music India,CA,294626
Sony Music India,DE,294625
UNIVERSAL MUSIC JAPAN,GB,294023
The Late Late Show with James Corden,GB,293974
The Late Late Show with James Corden,US,293974
BLACKPINK,CA,293744
justintimberlakeVEVO,US,293244
James Charles,US,292738
Anes Tina,FR,292529
Anes Tina,CA,292527
CalumScottVEVO,US,291884
MjrmGames,DE,291492
Lucas and Marcus,US,290623
ChrisJedayVEVO,DE,290314
iKON,FR,288692
iKON,CA,288691
21SavageVEVO,DE,287679
BANGTANTV,GB,287343
Charlie Puth,GB,287089
Aditya Music,CA,286966
AmazingPhil,US,286258
BadComedian,CA,285475
nigahiga,DE,284464
Tyler. The Creator,CA,282663
White Hill Music,CA,282189
Алексей Навальный,CA,282046
Vogue,DE,281103
BBC Radio 1,GB,279910
Maroon5VEVO,FR,279833
Geet MP3,CA,279788
ImagineDragonsVEVO,FR,279685
ImagineDragonsVEVO,DE,279685
2ChainzVEVO,GB,279511
21 Savage,CA,278236
Unbox Therapy,US,277570
HowToBasic,DE,277144
HowToBasic,CA,277144
Kafalar,DE,276358
NikkieTutorials,DE,275632
NikkieTutorials,CA,275632
bill wurtz,CA,273722
Enes Batur,FR,273700
Ghali,DE,273698
Samsung Mobile USA,GB,273666
Architectural Digest,GB,273171
Julien Bam,DE,272670
Walt Disney Animation Studios,CA,272644
Architectural Digest,US,271913
Atlantic Records,GB,271898
xxxtentacion,DE,271217
xxxtentacion,FR,271217
Liza Koshy Too,GB,271178
Eurovision Song Contest,GB,271123
joyner lucas,US,270831
joyner lucas,DE,270831
Mythri Movie Makers,CA,270213
HowToBasic,FR,269669
Unbox Therapy,CA,269530
HalseyVEVO,CA,269501
Warner Bros. Pictures,GB,269467
Martinez Twins,CA,268881
DJSnakeVEVO,GB,268812
Rudy Mancuso,US,268539
Rudy Mancuso,GB,268539
PTXofficial,DE,268268
Nintendo,US,268212
versusbattleru,CA,267520
AmazingPhil,CA,267168
Martin Garrix,US,266912
Lucas the Spider,FR,266141
Вечерний Ургант,DE,265937
Red Chillies Entertainment,CA,265648
DVV Entertainments,DE,265061
James Charles,GB,264850
Le Rire Jaune,FR,264256
The Late Late Show with James Corden,CA,263919
CaseyNeistat,US,263740
Cole Bennett,CA,263259
Big Marvel,US,262943
MrBeast,CA,262654
Nintendo,CA,262387
Sofia Reyes,GB,261343
LIL UZI VERT,US,261095
Adult Swim,GB,260539
5-Minute Crafts,CA,260516
Will Smith,GB,259746
ЛАРИН,DE,259709
Will Smith,US,258964
JadenSmithVEVO,GB,258951
Bad Lip Reading,US,258658
ChrisBrownVEVO,CA,256369
HaileeSteinfeldVEVO,GB,255406
MAMAMOO,GB,255386
Tyler. The Creator,DE,255300
Nicki Minaj,US,255074
Nicki Minaj,GB,255074
Aditya Music,DE,255063
Cardi B,CA,254881
SeanPaulVEVO,GB,254279
Le Rire Jaune,CA,253909
BlocBoy JB,DE,253635
Natalies Outlet,GB,252972
Bad Lip Reading,CA,251314
Dolan Twins,US,251227
ApoRed,DE,249047
JenniferLopezVEVO,US,248909
Lil Peep,US,248867
marshmello,US,247884
Dzjoker Chemsou,CA,247661
Dzjoker Chemsou,FR,247661
Unbox Therapy,DE,247647
justintimberlakeVEVO,CA,247120
justintimberlakeVEVO,DE,247120
JayRockVEVO,DE,247117
JayRockVEVO,FR,247117
Mythri Movie Makers,DE,246776
Conor Maynard,FR,246706
Conor Maynard,DE,246705
FoxStarHindi,DE,245109
Warner Bros. Pictures,CA,244404
Hannah Stocking,CA,244278
Hannah Stocking,DE,244277
Nintendo,FR,243563
Nintendo,DE,243562
IISuperwomanII,US,243307
The Tonight Show Starring Jimmy Fallon,GB,242938
Poll Production,FR,242737
1theK (원더케이),FR,242377
1theK (원더케이),CA,242375
Harsh Beniwal,CA,242358
KhalidVEVO,US,242098
Haarika & Hassine Creations,FR,240637
KaliUchisVEVO,GB,240597
Mnet K-POP,CA,240158
woolliment,GB,239681
Nicki Minaj,CA,239430
LogicVEVO,GB,239157
Mark Rober,US,238584
Liza Koshy Too,US,238566
Post Malone,FR,237319
Liza Koshy Too,CA,236764
Daniel Howell,GB,235912
Billboard,US,235893
Warner Bros. Pictures,DE,235580
Muzik247,CA,235111
joyner lucas,FR,234391
Bamb Beats,CA,233294
BLACKPINK,FR,233049
MeghanTrainorVEVO,CA,232625
Walt Disney Animation Studios,DE,232549
Tyler. The Creator,FR,231749
KygoOfficialVEVO,GB,231730
Markiplier,CA,231544
IISuperwomanII,GB,231376
TANZVERBOT,DE,231353
Mark Rober,CA,230508
Camila Cabello,GB,229803
Lucas and Marcus,CA,229049
Vsauce,GB,228735
CaseyNeistat,CA,228489
Dani Ochoa,CA,227180
Dani Ochoa,US,227180
Daniel Howell,US,226887
Coachella,CA,226862
NERDVEVO,GB,225673
jacksfilms,US,225422
ChrisBrownVEVO,FR,225131
ChrisBrownVEVO,DE,225130
justintimberlakeVEVO,FR,225073
marshmello,CA,224943
Kodak Black,CA,224330
Bhad Bhabie,CA,223857
Paramount Pictures,US,223563
CaseyNeistat,DE,223456
Akim Omiri,FR,222158
NORMAN FAIT DES VIDÉOS,DE,221945
Sidemen,CA,221919
JonTronShow,US,221868
Architectural Digest,CA,221137
Jaiden Animations,US,220891
Алексей Навальный,FR,220590
EXID_OFFICIAL,CA,220362
EXID_OFFICIAL,FR,220362
Amixem,FR,220047
videogamedunkey,US,219928
Sony Pictures Entertainment,GB,219113
Enjoykin,DE,218638
Warner Bros. Pictures,US,218633
Update Music TV,CA,218484
LadyGagaVEVO,US,218247
chayanneVEVO,GB,218197
PTXofficial,FR,217568
Us The Duo,GB,217017
Dani Ochoa,DE,216867
SSundee,CA,216765
Martin Garrix,CA,216409
JenniferLopezVEVO,CA,216320
Unbox Therapy,GB,216113
BlocBoy JB,FR,215989
jacksfilms,CA,215699
jeffreestar,GB,215627
JonTronShow,CA,215180
Markiplier,DE,215109
Jaiden Animations,CA,215060
LIVELOVEASAPVEVO,FR,214849
LIVELOVEASAPVEVO,CA,214848
LIVELOVEASAPVEVO,DE,214848
Amixem,CA,214747
HaileeSteinfeldVEVO,US,214451
James Charles,CA,213596
21SavageVEVO,FR,213435
JheneAikoVEVO,GB,213192
Sidemen,DE,213140
LogicVEVO,FR,213063
LogicVEVO,DE,213063
LogicVEVO,CA,213063
iggyazaleamusicVEVO,GB,212864
Rudy Mancuso,CA,212761
RomeoSantosVEVO,FR,212598
Paramount Pictures,CA,212387
BostonDynamics,GB,212024
IISuperwomanII,CA,211931
Jason Derulo,GB,211598
Jason Derulo,US,211598
Jake Paul,GB,211186
Akim Omiri,CA,210931
The Weeknd,GB,210669
iDubbbzTV,CA,210644
CaseyNeistat,FR,210539
The Late Late Show with James Corden,DE,210254
MrBeast,DE,209770
LIL UZI VERT,CA,209694
SamSmithWorldVEVO,GB,209684
FARRUKOVEVO,FR,209620
FARRUKOVEVO,DE,209615
bill wurtz,DE,209445
orelsan,FR,209081
Charlie Puth,US,208955
Sony Pictures Entertainment,US,208846
videogamedunkey,CA,208539
PitbullVEVO,US,208531
TinasheOfficialVEVO,GB,207868
Boldly,US,207832
videogamedunkey,GB,207679
Ghali,FR,206299
The Slow Mo Guys,FR,206204
Dani Ochoa,FR,206109
Humble Music,CA,205754
Red Chillies Entertainment,DE,205728
QualityControlVEVO,GB,205649
BostonDynamics,US,205630
88rising,GB,205275
FallOutBoyVEVO,GB,205203
GQ,GB,205018
Taco Hemingway,DE,204761
jeffreestar,US,203911
Safiya Nygaard,DE,203012
iDubbbzTV,DE,202959
Call of Duty,US,202863
Lucas and Marcus,DE,202649
VanossGaming,CA,202546
Warner Music,GB,202514
Camila Cabello,US,201742
BostonDynamics,CA,201223
CarryMinati,CA,200911
NEMAGIA,DE,200251
Walt Disney Animation Studios,FR,200217
Star Wars,GB,200012
Universal Pictures,FR,200007
K-MUSIC,GB,199982
Mnet K-POP,DE,199782
Mark Rober,DE,198859
Will Smith,CA,198603
Channel 4 News,GB,198295
Sony Pictures Entertainment,CA,198271
Britain's Got Talent,CA,198145
Britain's Got Talent,US,198143
Jaiden Animations,DE,197711
КЛИККЛАК,DE,197404
Butch Hartman,GB,197212
ANDY,FR,196492
Natalies Outlet,US,196113
JennaMarbles,US,195530
Nicki Minaj,FR,195399
Nicki Minaj,DE,195399
Bad Lip Reading,DE,195122
Martin Garrix,DE,193992
Martin Garrix,FR,193992
LadyGagaVEVO,CA,193449
Maître GIMS,FR,193433
JunsKitchen,US,193377
The Film Theorists,US,192698
WWE,US,191913
BostonDynamics,FR,191296
BostonDynamics,DE,191296
NFVEVO,US,191236
AnselElgortVEVO,GB,191228
orelsan,CA,191045
David Guetta,US,190988
Paramount Pictures,FR,190134
Paramount Pictures,DE,190134
Jimmy Kimmel Live,GB,190116
Kurzgesagt – In a Nutshell,US,189767
Primitive Technology,CA,189739
Ленинград | Leningrad,DE,189576
Markiplier,FR,189470
SamSmithWorldVEVO,US,189276
Star Wars,CA,188926
FBE,GB,188889
First We Feast,US,188490
First We Feast,CA,188490
videogamedunkey,DE,188444
Rudy Mancuso,DE,188367
JonTronShow,DE,188159
CGP Grey,US,187892
A Chick Called Albert,GB,187524
VanossGaming,DE,187464
GraceVanderWaalVEVO,US,187060
Ryan Reynolds,CA,186777
Sony Pictures Entertainment,DE,186500
Sony Pictures Entertainment,FR,186500
Call of Duty,CA,186266
Star Wars,DE,186188
Star Wars,US,186188
Ultra Music,GB,185955
KhalidVEVO,CA,185794
marshmello,DE,185638
JennaMarbles,CA,185532
The Tonight Show Starring Jimmy Fallon,CA,185200
Никита Ордынский,GB,185043
Boldly,CA,184657
Lindsey Stirling,US,184474
BLACKPINK,GB,184392
Butch Hartman,US,184320
SiaVEVO,GB,183202
DJKhaledVEVO,GB,183059
Atlantic Records,US,182789
Primitive Technology,GB,182762
SuperMarioLogan,CA,182699
Mekky Music,DE,182453
Mekky Music,CA,182453
ANDY,CA,182334
Risingsunrsf,CA,182283
boogie2988,GB,181943
Primitive Technology,DE,181705
Star Wars,FR,181666
jeffreestar,CA,181527
GQ,CA,181329
LadyGagaVEVO,FR,181066
LadyGagaVEVO,DE,181066
Samsung,US,180749
BigfloetoliVEVO,FR,180627
Brave Wilderness,CA,180303
Hayley Kiyoko,GB,179735
The Film Theorists,CA,179245
IISuperwomanII,DE,178957
Kurzgesagt – In a Nutshell,CA,178296
Brave Wilderness,US,178243
FaZe Rug,CA,178236
TWICE JAPAN OFFICIAL YouTube Channel,FR,177932
Cardi B,FR,177709
Cardi B,DE,177708
FallOutBoyVEVO,US,177700
Lokdhun Punjabi,CA,177523
MORGENSHTERN,DE,177301
YoungBoy Never Broke Again,CA,177210
GraceVanderWaalVEVO,GB,176129
FBE,US,176013
Diplo,CA,175956
FilterCopy,CA,175829
ElleOfTheMills,GB,175743
The Late Late Show with James Corden,FR,174945
CGP Grey,CA,174918
Little Big,DE,174739
Eh Bee Family,CA,174711
boogie2988,US,173772
Flobots,GB,173694
Sidemen,US,172833
Primitive Technology,US,172661
Domics,US,172597
Mister V,FR,172516
K-MUSIC,US,172044
Brave Wilderness,DE,172000
Sidemen,FR,171839
Maître GIMS,CA,171434
Mhd Officiel,FR,171340
Niska Officiel,FR,171335
Ленинград | Leningrad,CA,171213
KBS World TV,GB,171167
LastWeekTonight,US,171122
Unbox Therapy,FR,170552
Никита Ордынский,US,170182
2ChainzVEVO,CA,170087
The X Factor UK,US,169795
Alan Walker,US,169384
NFL,GB,169320
Shay Mitchell,US,169168
Simply Nailogical,US,168973
BigfloetoliVEVO,CA,168497
AuronPlay,FR,168312
Primitive Technology,FR,168203
ElleOfTheMills,US,168189
L'Algerino,FR,167723
DJSnakeVEVO,US,167704
The Noite com Danilo Gentili,CA,166768
BLACKPINK,US,166757
Kurzgesagt – In a Nutshell,DE,166686
Kurzgesagt – In a Nutshell,FR,166686
CGP Grey,DE,166667
Ultra Music,US,166173
NIXBLACK,CA,166131
NIXBLACK,DE,166130
Butch Hartman,CA,165915
Mister V,CA,165249
Kodak Black,DE,165230
Kodak Black,FR,165230
Dagi Bee,DE,165040
Allu Arjun,CA,164513
Risingsunrsf,DE,164430
Pinball Wiz,US,164227
Fueled By Ramen,US,164098
RealVIXX,GB,164041
RealVIXX,FR,164041
RealVIXX,DE,164041
RealVIXX,CA,164041
doddleoddle,GB,163869
NFVEVO,CA,163680
